Community Area,Year,Month,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
44,2025,8,0.0,41.0,69.0,20.0,0.0,50.0,1.0,8.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,12.0,1.0,0.0,90.0,7.0
44,2025,9,1.0,41.0,77.0,18.0,0.0,48.0,4.0,4.0,14.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,59.0,5.0
44,2025,10,0.0,56.0,112.0,30.0,0.0,71.0,3.0,9.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,9.0,0.0,0.0,5.0,0.0,55.0,0.0,0.0,4.0,19.0,1.0,2.0,107.0,10.0
44,2025,11,2.0,37.0,92.0,24.0,0.0,49.0,3.0,11.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,3.0,0.0,0.0,6.0,0.0,28.0,0.0,0.0,2.0,10.0,3.0,0.0,86.0,8.0
44,2025,12,1.0,44.0,82.0,18.0,0.0,43.0,3.0,8.0,18.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,34.0,5.0,0.0,0.0,3.0,0.0,29.0,0.0,0.0,2.0,18.0,3.0,0.0,61.0,12.0
44,2026,1,0.0,41.0,86.0,12.0,0.0,33.0,1.0,6.0,28.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,30.0,9.0,0.0,0.0,4.0,0.0,50.0,0.0,0.0,2.0,15.0,3.0,0.0,67.0,15.0
44,2026,2,5.0,65.0,93.0,19.0,0.0,58.0,2.0,11.0,19.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,47.0,11.0,0.0,0.0,4.0,0.0,47.0,0.0,0.0,3.0,9.0,2.0,1.0,90.0,9.0
44,2026,3,2.0,44.0,121.0,15.0,0.0,61.0,3.0,12.0,14.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,59.0,3.0,0.0,0.0,3.0,0.0,29.0,0.0,0.0,2.0,10.0,1.0,2.0,85.0,3.0
44,2026,4,0.0,6.0,14.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0
45,2024,1,0.0,8.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,4.0
45,2024,2,0.0,16.0,24.0,3.0,0.0,2.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,6.0
45,2024,3,0.0,12.0,10.0,3.0,0.0,14.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,4.0
45,2024,4,1.0,7.0,14.0,4.0,0.0,13.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,18.0,2.0
45,2024,5,0.0,9.0,19.0,7.0,0.0,9.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,5.0
45,2024,6,0.0,6.0,19.0,4.0,0.0,17.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,8.0
45,2024,7,0.0,15.0,14.0,3.0,0.0,15.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,23.0,5.0
